Unnamed: 0,Model,Price_w/o_shipping,Vendor,Date
3296,Beko FSE1175N Tisch-Gefrierschrank,"€ 369,00",Küchen & Wohnstudio Kutzer,2024-06-26
3297,Beko FSE1175N Tisch-Gefrierschrank,"€ 394,70",e-tec.at,2024-06-26
3298,Nabo GN 1752,"€ 549,00",mörth online,2024-06-26
3299,Nabo GN 1752,"€ 549,99",Expert,2024-06-26
3300,Nabo GN 1752,"€ 549,99",Universal Versand,2024-06-26
3301,Nabo GN 1752,"€ 549,99",OTTO Österreich,2024-06-26
3302,Nabo GN 1752,"€ 549,99",neckermann.at,2024-06-26
3303,Nabo GS 1066 Tisch-Gefrierschrank,"€ 259,00",ek-online,2024-06-26
3304,Nabo GS 1066 Tisch-Gefrierschrank,"€ 259,00",Elektro Outlet Steyr,2024-06-26
3305,Nabo GS 1066 Tisch-Gefrierschrank,"€ 259,99",Expert,2024-06-26
3306,Liebherr SIFNe 5178-20 Peak NoFrost,"€ 1999,00",Köck,2024-06-26
3307,Liebherr SIFNe 5178-20 Peak NoFrost,"€ 1999,00",Schreck,2024-06-26
3308,Liebherr SIFNe 5178-20 Peak NoFrost,"€ 1999,00",akatronik,2024-06-26
3309,Liebherr SIFNe 5178-20 Peak NoFrost,"€ 1999,00",Radio Krejcik Wien,2024-06-26
3310,Liebherr SIFNe 5178-20 Peak NoFrost,"€ 2298,00",Küchen & Wohnstudio Kutzer,2024-06-26
3311,Liebherr FNc 4675-20 Peak NoFrost,"€ 1149,00",electronic4you,2024-06-26
3312,Liebherr FNc 4675-20 Peak NoFrost,"€ 1149,00",Majdic,2024-06-26
3313,Liebherr FNc 4675-20 Peak NoFrost,"€ 1249,00",Media Markt.at,2024-06-26
3314,Liebherr FNc 4675-20 Peak NoFrost,"€ 1298,00",Küchen & Wohnstudio Kutzer,2024-06-26
3315,Liebherr FNc 4675-20 Peak NoFrost,"€ 1299,00",Haustechnik Hochrieder,2024-06-26
3316,Bosch Serie 6 GSN54EWCV,"€ 1349,00",Köck,2024-06-26
3317,Bosch Serie 6 GSN54EWCV,"€ 1349,00",Radio Krejcik Wien,2024-06-26
3318,Bosch Serie 6 GSN54EWCV,"€ 1649,00",Red Zac,2024-06-26
3319,Smeg S8F174DNE,"€ 1620,00",qshop.at,2024-06-26
3320,Smeg S8F174DNE,"€ 1639,00",Köck,2024-06-26
3321,Smeg S8F174DNE,"€ 1639,00",ALLES KÜCHE,2024-06-26
3322,Smeg S8F174DNE,"€ 1692,13",ek-online,2024-06-26
3323,Smeg S8F174DNE,"€ 1692,13",0815,2024-06-26
3324,Smeg S8F174DNE,"€ 2139,00",Weber Original Store Salzburg,2024-06-26
3325,Liebherr FDv 4643-41 Gewerbe-Gefrierschrank,"€ 2499,00",Köck,2024-06-26
3326,Bosch Serie 4 GSN29UWEW,"€ 649,00",Bosch Online Shop,2024-06-26
3327,Indesit I55ZM 112 W,"€ 353,99",0815,2024-06-26
3328,Indesit I55ZM 112 W,"€ 389,00",Radio Krejcik Wien,2024-06-26
3329,AEG Electrolux TAB7N12EF,"€ 755,29",Amazon.at,2024-06-26
3330,Elektra Bregenz FSN 7953,"€ 529,00",ek-online,2024-06-26
3331,Gorenje FNI418EE1,"€ 729,99",Universal Versand,2024-06-26
3332,Gorenje FNI418EE1,"€ 729,99",OTTO Österreich,2024-06-26
3333,Bomann GB 7236 Gefrierbox schwarz,"€ 154,03",Elektroshop Wagner AT,2024-06-26
3334,Bomann GB 7236 Gefrierbox schwarz,"€ 158,32",getgoods.com,2024-06-26
3335,Bomann GB 7236 Gefrierbox schwarz,"€ 166,38",Amazon.at,2024-06-26
3336,Bomann GB 7236 Gefrierbox schwarz,"€ 169,99",Conrad.at,2024-06-26
3337,Bomann GB 7236 Gefrierbox schwarz,"€ 170,99",Media Markt.at,2024-06-26
3338,Bomann GB 7236 Gefrierbox schwarz,"€ 424,29",mylemon.at,2024-06-26
3339,Liebherr UG 1211-25 Comfort,"€ 799,00",Köck,2024-06-26
3340,Liebherr UG 1211-25 Comfort,"€ 799,00",Radio Krejcik Wien,2024-06-26
3341,Liebherr UG 1211-25 Comfort,"€ 949,00",Küchen & Wohnstudio Kutzer,2024-06-26
3342,Liebherr SFNbsd 529i-20 Peak NoFrost,"€ 1899,00",Köck,2024-06-26
3343,Liebherr SFNbsd 529i-20 Peak NoFrost,"€ 1899,00",Radio Krejcik Wien,2024-06-26
3344,Liebherr SFNbsd 529i-20 Peak NoFrost,"€ 2099,00",Küchen & Wohnstudio Kutzer,2024-06-26
3345,Haier HFE172NFDE,"€ 399,00",Köck,2024-06-26
3346,Haier HFE172NFDE,"€ 399,00",akatronik,2024-06-26
3347,Haier HFE172NFDE,"€ 399,00",Servicehansa,2024-06-26
3348,Haier HFE172NFDE,"€ 655,36",Amazon.at,2024-06-26
3349,Liebherr SIFNSf 5128-20 Plus NoFrost,"€ 1399,00",Köck,2024-06-26
3350,Liebherr SIFNSf 5128-20 Plus NoFrost,"€ 1399,00",Schreck,2024-06-26
3351,Liebherr SIFNSf 5128-20 Plus NoFrost,"€ 1798,00",Küchen & Wohnstudio Kutzer,2024-06-26
3352,Liebherr SIFNSf 5128-20 Plus NoFrost,"€ 1799,00",akatronik,2024-06-26
3353,Liebherr IFSe 3904-20 Pure,"€ 899,00",Schreck,2024-06-26
3354,Liebherr IFSe 3904-20 Pure,"€ 899,00",akatronik,2024-06-26
3355,Liebherr IFSe 3904-20 Pure,"€ 899,00",Radio Krejcik Wien,2024-06-26
3356,Liebherr IFSe 3904-20 Pure,"€ 899,00",Küchen & Wohnstudio Kutzer,2024-06-26
3357,Beko RFNM200E40WN,"€ 469,99",Universal Versand,2024-06-26
3358,Beko RFNM200E40WN,"€ 469,99",OTTO Österreich,2024-06-26
3359,Beko RFNM200E40WN,"€ 864,26",mylemon.at,2024-06-26
3360,Liebherr FFFsg 4001-40 Performance Gewerbe-Gefrierschrank,"€ 1959,00",Köck,2024-06-26
